# GRAS free-field corrections, dB relative to the pressure response at 250 Hz.
# Source: https://www.grasacoustics.com/fileadmin-gras/downloads/GRAS_Free-field_and_Random_Incidence_Corrections.xlsx
# SHA-256 13ab5f3ccbbf1ab53774496cdcc9765e2d79180a99df50309188a7e502e7620b
# family,grid,diameterMm,frequencyHz,deg0,deg30,deg60,deg90
OneEighthInch,Grid,3.175,100000,10.858402,9.015594,5.1015,-0.5999
OneEighthInch,Grid,3.175,112000,10.309181,8.214852,3.8345,-2.1155
OneEighthInch,Grid,3.175,125000,8.91421,6.53861,1.9325,-4.3342
OneEighthInch,Grid,3.175,140000,6.609208,3.873852,-0.4837,-7.5062
OneEighthInch,NoGrid,3.175,500,0,0,0,0
OneEighthInch,NoGrid,3.175,560,0.0152,-0.0059,0.0191,-0.0144
OneEighthInch,NoGrid,3.175,630,0.0147,-0.0058,0.019,-0.0138
OneEighthInch,NoGrid,3.175,710,0.0141,-0.0057,0.0188,-0.0132
OneEighthInch,NoGrid,3.175,800,0.0135,-0.0055,0.0187,-0.0125
OneEighthInch,NoGrid,3.175,900,0.0129,-0.0052,0.0186,-0.0117
OneEighthInch,NoGrid,3.175,1000,0.0125,-0.0049,0.0185,-0.0109
OneEighthInch,NoGrid,3.175,1120,0.012,-0.0044,0.0185,-0.0099
OneEighthInch,NoGrid,3.175,1250,0.0117,-0.0037,0.0185,-0.0088
OneEighthInch,NoGrid,3.175,1400,0.0115,-0.0029,0.0185,-0.0075
OneEighthInch,NoGrid,3.175,1600,0.0116,-0.0015,0.0187,-0.0058
OneEighthInch,NoGrid,3.175,1800,0.0121,0.0002,0.019,-0.004
OneEighthInch,NoGrid,3.175,2000,0.0129,0.0021,0.0195,-0.0022
OneEighthInch,NoGrid,3.175,2240,0.0143,0.0047,0.0202,0.0001
OneEighthInch,NoGrid,3.175,2500,0.0164,0.008,0.0212,0.0025
OneEighthInch,NoGrid,3.175,2800,0.0196,0.0122,0.0226,0.0054
OneEighthInch,NoGrid,3.175,3150,0.0243,0.0179,0.0246,0.009
OneEighthInch,NoGrid,3.175,3550,0.031,0.0252,0.0274,0.0131
OneEighthInch,NoGrid,3.175,4000,0.04,0.0346,0.0311,0.0179
OneEighthInch,NoGrid,3.175,4500,0.052,0.0465,0.036,0.0234
OneEighthInch,NoGrid,3.175,5000,0.066,0.0597,0.0417,0.0291
OneEighthInch,NoGrid,3.175,5600,0.0853,0.0774,0.0496,0.0362
OneEighthInch,NoGrid,3.175,6300,0.1113,0.1005,0.0602,0.0448
OneEighthInch,NoGrid,3.175,7100,0.1453,0.13,0.0741,0.0549
OneEighthInch,NoGrid,3.175,8000,0.189,0.167,0.0922,0.0667
OneEighthInch,NoGrid,3.175,9000,0.2438,0.2128,0.1151,0.0802
OneEighthInch,NoGrid,3.175,10000,0.305,0.2631,0.141,0.0942
OneEighthInch,NoGrid,3.175,11200,0.3864,0.3292,0.1759,0.1114
OneEighthInch,NoGrid,3.175,12500,0.4837,0.4076,0.2182,0.1304
OneEighthInch,NoGrid,3.175,14000,0.6068,0.506,0.2728,0.1527
OneEighthInch,NoGrid,3.175,16000,0.7875,0.6494,0.3545,0.1827
OneEighthInch,NoGrid,3.175,18000,0.985,0.8054,0.4459,0.2124
OneEighthInch,NoGrid,3.175,20000,1.1969,0.9725,0.5461,0.2415
OneEighthInch,NoGrid,3.175,22400,1.4673,1.1854,0.677,0.2749
OneEighthInch,NoGrid,3.175,25000,1.7765,1.429,0.8302,0.3083
OneEighthInch,NoGrid,3.175,28000,2.1488,1.7228,1.019,0.3424
OneEighthInch,NoGrid,3.175,31500,2.5972,2.0778,1.2518,0.3746
OneEighthInch,NoGrid,3.175,35500,3.1178,2.4924,1.5278,0.399
OneEighthInch,NoGrid,3.175,40000,3.701,2.9602,1.8419,0.4082
OneEighthInch,NoGrid,3.175,45000,4.3304,3.47,2.1829,0.3927
OneEighthInch,NoGrid,3.175,50000,4.9256,3.9575,2.502,0.3474
OneEighthInch,NoGrid,3.175,56000,5.578,4.4988,2.8382,0.2509
OneEighthInch,NoGrid,3.175,63000,6.235,5.0527,3.143,0.0786
OneEighthInch,NoGrid,3.175,71000,6.8313,5.564,3.3491,-0.1963
OneEighthInch,NoGrid,3.175,80000,7.2958,5.967,3.3777,-0.5972
OneEighthInch,NoGrid,3.175,90000,7.5654,6.1933,3.1551,-1.1349
OneEighthInch,NoGrid,3.175,100000,7.6074,6.1946,2.6971,-1.7332
OneEighthInch,NoGrid,3.175,112000,7.4277,5.9341,1.9336,-2.4571
OneEighthInch,NoGrid,3.175,125000,7.0628,5.4019,1.0246,-3.1191
OneEighthInch,NoGrid,3.175,140000,6.5873,4.5995,0.1613,-3.4842
Rugged146AE,RuggedGrid,12.7,500,0.040541,0.038024,0.025852,0.022042
Rugged146AE,RuggedGrid,12.7,560,0.031789,0.029067,0.019397,0.015745
Rugged146AE,RuggedGrid,12.7,630,0.037803,0.034584,0.026974,0.022915
Rugged146AE,RuggedGrid,12.7,710,0.043508,0.039397,0.033051,0.02777
Rugged146AE,RuggedGrid,12.7,800,0.0668,0.061296,0.055044,0.047449
Rugged146AE,RuggedGrid,12.7,900,0.073152,0.065648,0.057934,0.046642
